skill,sub_category,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate,history_found,cluster,pc1,pc2,archetype,history_length_x,history_length_y,forecast_method,forecast_2028,forecast_score,forecast_class
agile,Software Engineering,0.1404397052364452,0.5373414748708314,0.274694,0.213647,0.6341463414634143,0.5665329403023175,1,2,-0.7602173384511443,-0.6549404317662154,Growing,0.0,0.0,Feature-Based,0.32806093079285437,4.4000854257092465e-06,Declining
software development,Software Engineering,0.1274339954126201,0.6200093940817286,0.317708,0.266445,0.6341463414634143,0.5665329403023175,1,2,-0.3419233147048168,-0.2833375999131597,Growing,0.0,0.0,Feature-Based,0.3416601178457068,4.7118098979226604e-06,Declining
testing,Software Engineering,0.1217119711092674,0.2461249412869891,0.265282,0.216942,0.6341463414634143,0.5665329403023175,1,2,-1.1211948085795176,-1.5707523993327643,Growing,0.0,0.0,Feature-Based,0.32232516055470106,4.268608452616894e-06,Declining
machine learning,AI_ML,0.1194060807183641,0.8511038046031001,0.346147,0.646826,0.6341463414634143,0.70156024372584,1,0,1.103340271711332,0.4788109124756114,Stable,0.0,0.0,Feature-Based,0.4709477192933107,7.675377438273476e-06,Declining
javascript,Programming,0.1153067200234249,0.5373414748708314,1.0,0.5977628382577256,1.0,0.0801447139711219,1,3,5.391572125069703,-0.7599086271133729,Future-Proof,10.0,10.0,Feature-Based,0.40406890406423934,6.1423620235639705e-06,Declining
automation,Software Engineering,0.1137572592845639,0.4396430248943166,0.302034,0.330555,0.6341463414634143,0.5665329403023175,1,2,-0.3980597314603111,-0.8273590653676451,Growing,0.0,0.0,Feature-Based,0.35201719700728995,4.949217841704114e-06,Declining
data analytics,Data Analytics,0.1059733541554829,0.4419915453264442,0.431744,0.242801,0.6341463414634143,0.5665329403023175,1,2,-0.1737653333242798,-0.7888662066284801,Growing,0.0,0.0,Feature-Based,0.3407145254685656,4.6901347578170225e-06,Declining
data visualization,Data Analytics,0.1026548240691035,0.4276045091592297,0.263399,0.328155,0.6341463414634143,0.5665329403023175,1,2,-0.599326728423464,-0.8114986623412467,Growing,0.0,0.0,Feature-Based,0.3442229664426518,4.770556249681827e-06,Declining
software engineering,Software Engineering,0.1005929432433751,0.7820573038985439,0.343115,0.247802,0.6341463414634143,0.5665329403023175,1,2,-0.185462880741069,0.4254501797388231,Growing,0.0,0.0,Feature-Based,0.3314877521949333,4.47863601029795e-06,Declining
linux,DevOps,0.0959933629398272,0.5746829497416628,0.483292,0.377007,0.6341463414634143,0.3685684406574158,1,1,0.8982274520902884,0.0007441384443056,High-Risk,3.0,3.0,Feature-Based,0.32693570319264353,4.374292635417262e-06,Declining
cloud computing,Cloud,0.0913449807232443,0.6716768435885392,0.384641,0.374111,0.6341463414634143,0.1308896492023329,1,1,0.9110118165590594,0.651641563169465,High-Risk,0.0,0.0,Feature-Based,0.255532390663898,2.7375653938691003e-06,Declining
microsoft azure,Cloud,0.0886242740715436,0.6057303898543918,0.30692692216139,0.334348,0.2195121951219509,0.1308896492023329,1,1,-0.9687190065937256,1.4971309620712463,High-Risk,10.0,10.0,Feature-Based,0.1955406062503804,1.3624164779254689e-06,Declining
microsoft azure,Cloud,0.0886242740715436,0.6057303898543918,0.30692692216139,0.334348,0.2195121951219509,0.1308896492023329,1,1,-0.9687190065937256,1.4971309620712463,High-Risk,10.0,10.0,Feature-Based,0.19716365730604254,1.3996205204712023e-06,Declining
tableau,Data Analytics,0.0857327607242203,0.4209746359793329,0.34347,0.310487,0.5317073170731708,0.5665329403023175,1,2,-0.700797392250717,-0.4781446762476429,Growing,0.0,0.0,Feature-Based,0.33249254500016256,4.501668159622511e-06,Declining
jira,Tools_Platforms,0.0855375530720804,0.4903710662282761,0.227972,0.3707135190102254,0.6341463414634143,0.5665329403023175,1,2,-0.568545594870564,-0.4926394153319582,Growing,0.0,0.0,Feature-Based,0.34618471489610136,4.815524011275986e-06,Declining
kubernetes,DevOps,0.0818774095944561,0.7108619069985909,0.3329207331587717,0.3825772555222869,0.2195121951219509,0.3685684406574158,1,0,-0.9418277538297126,1.6199255374905297,Stable,7.0,7.0,Linear,12701.64285714284,0.29114758650370204,Stable
c++,Programming,0.0811819823337074,0.9410521371535934,0.644373,0.2961979549178012,0.5853658536585367,0.1310244007450515,1,1,1.8163414125560564,1.769554493867226,High-Risk,10.0,10.0,Feature-Based,0.25413406898167906,2.7055126625786037e-06,Declining
devops,DevOps,0.0770094187692157,0.6312822921559418,0.509982,0.347952,0.6341463414634143,0.3685684406574158,1,1,0.9313787145889652,0.2965904582000204,High-Risk,0.0,0.0,Feature-Based,0.3166457699414601,4.138423829482749e-06,Declining
docker,DevOps,0.0763017910302083,0.6782527007984969,0.8290407045941441,0.6916558386531835,0.7317073170731705,0.2510784672300354,1,3,3.957730622884438,0.4388604191690028,Future-Proof,7.0,7.0,Linear,29612.92857142858,0.6787929356887651,Growing
statistics,Data Analytics,0.0749841393782636,0.2790042273367777,0.2899,0.264691,0.6341463414634143,0.5665329403023175,1,2,-0.9108668155034176,-1.1924069334912115,Growing,0.0,0.0,Feature-Based,0.3227058610353999,4.2773349783978846e-06,Declining
statistical analysis,Data Analytics,0.0745205212044312,0.3964302489431657,0.220089,0.348291,0.6341463414634143,0.5665329403023175,1,2,-0.7946773430099392,-0.7660293852507803,Growing,0.0,0.0,Feature-Based,0.33648567558325015,4.5931998459398285e-06,Declining
git,DevOps,0.0720926260309404,0.5631751996242367,0.452144,0.326397,0.6341463414634143,0.3685684406574158,1,1,0.5395702184997195,0.0784336457116588,High-Risk,1.0,1.0,Feature-Based,0.30399818211997753,3.848512188213169e-06,Declining
oracle,Database,0.0667976184666439,0.3922404884922499,0.1314448940728396,0.071125925088978,0.6341463414634143,0.160466931421689,1,2,-1.5459156173578634,-0.2995449344283463,Growing,9.0,9.0,Feature-Based,0.15449662322128532,4.2159450838006527e-07,Declining
power bi,Data Analytics,0.0662363964667415,0.3494598403006106,0.270022,0.257822,0.6951219512195119,0.5665329403023175,1,2,-0.7624762443673421,-1.0588741866871094,Growing,0.0,0.0,Feature-Based,0.32247404913755295,4.2720213194836955e-06,Declining
sharepoint,Tools_Platforms,0.0651993558147479,0.2220009394081727,0.229424,0.307204,0.6341463414634143,0.5665329403023175,1,2,-1.0925164100333298,-1.3327658320527709,Growing,3.0,3.0,Feature-Based,0.32435107596634516,4.315047067659793e-06,Declining
ms excel,Data Analytics,0.064418525206188,0.1146077970878346,0.334246,0.367183,0.6341463414634143,0.5665329403023175,1,2,-0.5654282551916381,-1.6871979089435378,Growing,0.0,0.0,Feature-Based,0.34959377678377723,4.893667507173833e-06,Declining
programming,Programming,0.0643087209018593,0.350164396430249,0.380904,0.386355,0.6341463414634143,0.1310244007450515,1,1,0.5571981550435642,-0.3231829961094777,High-Risk,0.0,0.0,Feature-Based,0.2501425006031621,2.6140167855632232e-06,Declining
business intelligence,Data Analytics,0.0592821238592552,0.5373414748708314,0.309377,0.286467,0.6341463414634143,0.5665329403023175,1,2,-0.5212770670811941,-0.1996988405025847,Growing,0.0,0.0,Feature-Based,0.3253869563796974,4.338791816068169e-06,Declining
databases,Database,0.0589161095114928,0.2320338186942225,0.230449,0.213914,0.6341463414634143,0.2160152322616729,1,2,-0.906906063061227,-0.8519910293554249,Growing,0.0,0.0,Feature-Based,0.2116166750652075,1.7309167454114864e-06,Declining
data science,AI_ML,0.0587575032941291,0.650070455612964,0.234615,0.720376,0.6341463414634143,0.70156024372584,1,0,0.5731572652028228,0.1144852151945898,Stable,0.0,0.0,Feature-Based,0.45998744606604014,7.4241429068410175e-06,Declining
c#,Programming,0.0576228588160655,0.5711601690934711,0.563238,0.3455736964013333,0.7073170731707314,0.1310244007450515,1,1,1.62359632664543,0.295647005485113,High-Risk,10.0,10.0,Feature-Based,0.263491889248489,2.9200153069206755e-06,Declining
database management,Database,0.0560367966424283,0.1615782057303898,0.172429,0.217657,0.6341463414634143,0.2160152322616729,1,2,-1.211584484711774,-1.0843423996938373,Growing,0.0,0.0,Feature-Based,0.20588663120448816,1.5995710339876698e-06,Declining
systems engineering,Engineering_Systems,0.0552193645990922,0.633161108501644,0.162611,0.128078,0.6341463414634143,0.5665329403023175,1,2,-1.5790601458357634,0.1190569443305868,Growing,0.0,0.0,Feature-Based,0.2698942786016485,3.0667727148643966e-06,Declining
artificial intelligence,AI_ML,0.0546581425991898,0.7017379051197745,0.23128,0.49748,0.6341463414634143,0.70156024372584,1,0,-0.1570973163351524,0.2725846940016415,Stable,0.0,0.0,Feature-Based,0.4027001378575584,6.11098677137405e-06,Declining
cybersecurity,Cybersecurity,0.051120003904153,0.5771254109910757,0.181628,0.27169,0.6341463414634143,0.5665329403023175,1,2,-1.0748002168473434,-0.0250594880027566,Growing,0.0,0.0,Feature-Based,0.3064691703931667,3.905152891242831e-06,Declining
agile development,Software Engineering,0.0510346005563418,0.5138562705495537,0.343035,0.283384,0.6341463414634143,0.5665329403023175,1,2,-0.432221215429409,-0.2362596769319086,Growing,0.0,0.0,Feature-Based,0.3255077493888233,4.341560668123112e-06,Declining
information technology,Tools_Platforms,0.0502049680347469,0.3494598403006106,0.240206,0.180224,0.6341463414634143,0.5665329403023175,1,2,-1.3797082598377506,-0.8311733081814979,Growing,0.0,0.0,Feature-Based,0.28918595963234484,3.5089821692995407e-06,Declining
robotics,Engineering_Systems,0.0472402518178712,0.3729450446218882,0.157472,0.163334,0.6341463414634143,0.5665329403023175,1,2,-1.761144417626586,-0.7400594953166353,Growing,0.0,0.0,Feature-Based,0.27580064476728217,3.202160136812912e-06,Declining
react,Programming,0.0444097408618417,0.5516016909347112,0.5044513211140204,0.3968137393367606,0.7073170731707314,0.1295611986695699,1,1,1.512678410331459,0.3082706710601668,High-Risk,10.0,10.0,Feature-Based,0.26609349618861033,2.979650088556095e-06,Declining
matlab,Programming,0.0432994973402957,0.559652418976045,0.0586050940252319,0.0348567877521044,0.6341463414634143,0.1805003728377471,1,2,-1.8728611602965424,0.3774959994141449,Growing,8.0,8.0,Feature-Based,0.1361042828984162,0.0,Declining
gcp,Cloud,0.0425918696012883,0.6838891498356037,0.2863603903832419,0.306002,0.4634146341463414,0.1368953154308607,1,1,-0.3721706128894235,1.374513589003988,High-Risk,0.0,0.0,Feature-Based,0.19847939219105998,1.429780173471843e-06,Declining
unit testing,Software Engineering,0.0424942657752183,0.5670079849694691,0.319675,0.182697,0.6341463414634143,0.5665329403023175,1,2,-0.8346044625284711,-0.0254455971013225,Growing,0.0,0.0,Feature-Based,0.2954378989544863,3.6522909184130442e-06,Declining
data modeling,Database,0.0420306476013859,0.6127289807421326,0.360673,0.192761,0.6341463414634143,0.2160152322616729,1,1,-0.0830433782955874,0.5708712240715411,High-Risk,0.0,0.0,Feature-Based,0.21428518649217543,1.792085130913806e-06,Declining
jenkins,DevOps,0.0411278122102386,0.623767026773133,0.363107,0.3628,0.6341463414634143,0.3685684406574158,1,1,0.2992282137351345,0.4610672142647748,High-Risk,0.0,0.0,Feature-Based,0.294905787973767,3.6400937176554515e-06,Declining
microservices,Software Engineering,0.0409082036015811,0.6761860028182245,0.397984,0.301958,0.6341463414634143,0.5665329403023175,1,2,0.0054352123274817,0.3917677894776052,Growing,0.0,0.0,Feature-Based,0.33260823030239517,4.504319931352774e-06,Declining
nosql,Database,0.0394929481235664,0.6887740723344293,0.233239,0.25225,0.6341463414634143,0.2160152322616729,1,1,-0.3337939111020024,0.8565793784874186,High-Risk,0.0,0.0,Feature-Based,0.2156527266488296,1.8234322792328117e-06,Declining
typescript,Programming,0.039029329949734,0.6838891498356037,0.6597952868364676,0.5705327382633749,0.7804878048780486,0.2649920077198655,1,3,2.918207308618724,0.4854673034509046,Future-Proof,9.0,9.0,Feature-Based,0.3646182946521819,5.238063821790822e-06,Declining
terraform,DevOps,0.0359548094285296,0.6838891498356037,0.2070459414425136,0.2156375346025648,0.6341463414634143,0.4296025825177979,1,2,-0.8846186085247517,0.5880272457190368,Growing,5.0,5.0,Linear,4858.599999999977,0.11136710509049629,Declining
ci/cd,DevOps,0.0357962032111658,0.6547674964772194,0.457996,0.306047,0.6341463414634143,0.3685684406574158,1,1,0.5193848360282135,0.5910505282326823,High-Risk,0.0,0.0,Feature-Based,0.2886069552740451,3.4957100650701634e-06,Declining
confluence,Tools_Platforms,0.0353325850373334,0.4903710662282761,0.187832,0.2409468391616293,0.6341463414634143,0.5665329403023175,1,2,-1.272762035707141,-0.2485704630195655,Growing,0.0,0.0,Feature-Based,0.2946675545235281,3.6346328620726385e-06,Declining
coding,Programming,0.0344663510809623,0.3494598403006106,0.348353,0.33788,0.6341463414634143,0.1310244007450515,1,1,0.1998624993665255,-0.1752316450429267,High-Risk,0.0,0.0,Feature-Based,0.22581593965689303,2.056396367352077e-06,Declining
microsoft sql server,Database,0.0344663510809623,0.4246124941286988,0.266231,0.26506,0.6341463414634143,0.2160152322616729,1,1,-0.4333354862427944,-0.0351110760323885,High-Risk,10.0,10.0,Feature-Based,0.22064644753604837,1.9378997839372833e-06,Declining
data engineering,Data Engineering,0.0329412912986189,0.6990436824800377,0.223671,0.293839,0.6341463414634143,0.2683583684151263,1,1,-0.3080563150527139,0.8715356389490915,High-Risk,0.0,0.0,Feature-Based,0.2362134636397087,2.294731398944255e-06,Declining
network security,Cybersecurity,0.0328070860377726,0.5138562705495537,0.25508,0.261244,0.6341463414634143,0.5665329403023175,1,2,-0.9060448167150692,-0.145870923897756,Growing,0.0,0.0,Feature-Based,0.30570899503325255,3.887727933270128e-06,Declining
angular,Programming,0.0320262554292128,0.5373414748708314,0.2874077600571292,0.1614598045308174,0.6341463414634143,0.0531604792503745,1,1,-0.3559046257184359,0.5521076206949639,High-Risk,7.0,7.0,Linear,1230.0737704923376,0.028192984504475722,Declining
information security,Cybersecurity,0.0318310477770728,0.5131517144199154,0.1844,0.27094,0.6341463414634143,0.5665329403023175,1,2,-1.167784373703255,-0.1442022172691788,Growing,0.0,0.0,Feature-Based,0.30077218355504265,3.774564922387112e-06,Declining
computer engineering,Engineering_Systems,0.031001415255478,0.5986519492719586,0.167801,0.232769,0.6341463414634143,0.5665329403023175,1,2,-1.2809457517159126,0.150659122979877,Growing,0.0,0.0,Feature-Based,0.2893206437985642,3.5120694384478404e-06,Declining
electronics,Engineering_Systems,0.0307940071250793,0.300019,0.112334,0.08948,0.6341463414634143,0.5665329403023175,0,2,-2.3058317335622123,-0.9225317938681388,Growing,0.0,0.0,Feature-Based,0.2478894713594446,2.5623722020193915e-06,Declining
system design,Software Engineering,0.0286955248645746,0.5087364960075154,0.258547,0.258987,0.6341463414634143,0.5665329403023175,1,2,-0.9124226997632852,-0.1418055017887108,Growing,0.0,0.0,Feature-Based,0.3042579766812932,3.854467273777865e-06,Declining
mysql,Database,0.0284393148211409,0.5852512916862376,0.5037372054272791,0.2892491949607367,0.8292682926829267,0.191707,1,1,1.4545297414970442,0.0990556251231822,High-Risk,9.0,9.0,Feature-Based,0.262071392997547,2.887454283795904e-06,Declining
node.js,Programming,0.0278292909082036,0.6838891498356037,0.598699,0.384498050957573,0.7804878048780486,0.1310244007450515,1,1,2.2005072081329606,0.6707671495940324,High-Risk,10.0,10.0,Feature-Based,0.27514808068592206,3.187201875480317e-06,Declining
software testing,Software Engineering,0.0273656727343711,0.2930953499295443,0.27827,0.2598,0.6341463414634143,0.5665329403023175,1,2,-1.0512072638339538,-0.8869600882414599,Growing,0.0,0.0,Feature-Based,0.3060345710422321,3.895190880074966e-06,Declining
data governance,Data Engineering,0.0271826655604899,0.6782527007984969,0.287555,0.280314,0.6341463414634143,0.2683583684151263,1,1,-0.1222178583745338,0.8301553375644986,High-Risk,0.0,0.0,Feature-Based,0.23749302591826996,2.3240618930685373e-06,Declining
agile methodologies,Software Engineering,0.0270484602996437,0.5373414748708314,0.356266,0.260752,0.6341463414634143,0.5665329403023175,1,2,-0.4761122129700978,-0.0283385009586189,Growing,0.0,0.0,Feature-Based,0.3139770073118139,4.077249685840475e-06,Declining
agile methodology,Software Engineering,0.0265604411692938,0.5255988727101926,0.329906,0.273041,0.6341463414634143,0.5665329403023175,1,2,-0.5560734995769502,-0.0654221304266801,Growing,0.0,0.0,Feature-Based,0.31426685157270895,4.083893579251195e-06,Declining
hadoop,Data Engineering,0.0260846225172026,0.7261625176139033,0.276782,0.306383,0.6341463414634143,0.2683583684151263,1,1,-0.0307584089126303,1.008205942203439,High-Risk,9.0,9.0,Feature-Based,0.24260356300528377,2.441207092262066e-06,Declining
unix,DevOps,0.025633204821629,0.560826679192109,0.432473,0.38007,0.6341463414634143,0.3685684406574158,1,1,0.5514440441749068,0.3315008868482289,High-Risk,0.0,0.0,Feature-Based,0.3015115057571841,3.7915118782869397e-06,Declining
big data,Data Engineering,0.024327753647943,0.6976984499765149,0.322649,0.30568,0.6341463414634143,0.2683583684151263,1,1,0.124087482116667,0.920132301620033,High-Risk,0.0,0.0,Feature-Based,0.24648745234450592,2.530234719406175e-06,Declining
cyber security,Cybersecurity,0.0240227416914743,0.560826679192109,0.215876,0.255446,0.6341463414634143,0.5665329403023175,1,2,-1.056525873097834,0.0628985467205899,Growing,0.0,0.0,Feature-Based,0.2977037917293631,3.7042303635133678e-06,Declining
plc programming,Programming,0.0238641354741105,0.1367778299671207,0.328245,0.292647,0.6341463414634143,0.1310244007450515,1,1,-0.2754618372007479,-0.8707888897299051,High-Risk,0.0,0.0,Feature-Based,0.20931622497483746,1.6781851675982746e-06,Declining
microsoft azure,Cloud,0.0234981211263481,0.6200093940817286,0.362262,0.2310038980848539,0.6341463414634143,0.1308896492023329,1,1,0.1484827970602084,0.808791614903325,High-Risk,10.0,10.0,Feature-Based,0.1955406062503804,1.3624164779254689e-06,Declining
microsoft azure,Cloud,0.0234981211263481,0.6200093940817286,0.362262,0.2310038980848539,0.6341463414634143,0.1308896492023329,1,1,0.1484827970602084,0.808791614903325,High-Risk,10.0,10.0,Feature-Based,0.19716365730604254,1.3996205204712023e-06,Declining
continuous integration,DevOps,0.0225098823873895,0.6312822921559418,0.415219,0.23179,0.6341463414634143,0.3685684406574158,1,1,0.0396352210101993,0.5642290934013484,High-Risk,0.0,0.0,Feature-Based,0.26177910902691226,2.8807544666576845e-06,Declining
programming languages,Programming,0.0224732809526133,0.6259675904180366,0.461082,0.448881,0.6341463414634143,0.1310244007450515,1,1,1.3055593914549477,0.882748934392736,High-Risk,0.0,0.0,Feature-Based,0.2612411686183883,2.8684236420813566e-06,Declining
c/c++,Programming,0.0223756771265433,1.0,0.4326,0.3919,0.6341463414634143,0.1310244007450515,1,1,1.375558111454796,2.177409294667789,High-Risk,0.0,0.0,Feature-Based,0.2441184374705673,2.475931479927654e-06,Declining
etl,Data Engineering,0.0220950661265921,0.5861906998590889,0.330415,0.313872,0.6341463414634143,0.2683583684151263,1,1,0.0658964601828468,0.5446187082180729,High-Risk,0.0,0.0,Feature-Based,0.24864224608810062,2.5796275205964435e-06,Declining
github,DevOps,0.021326435996291,0.6312822921559418,0.375316,1.0,0.6341463414634143,0.3685684406574158,1,0,2.4971538478108464,0.7220805425409786,Stable,0.0,0.0,Feature-Based,0.4494862751095826,7.18343204954474e-06,Declining
database,Database,0.0208018154311649,0.208548614372945,0.253041,0.137396,0.6341463414634143,0.2160152322616729,1,2,-1.170939824157974,-0.7420463784587584,Growing,0.0,0.0,Feature-Based,0.18331208684110914,1.0821108431848237e-06,Declining
snowflake,Database,0.0207896149529061,0.6838891498356037,0.0513687217329206,0.0603355742613411,0.6341463414634143,0.6474776120268291,1,2,-2.3995713448310383,0.3648807196825494,Growing,3.0,3.0,Feature-Based,0.2517416873775479,2.650673804198136e-06,Declining
postgresql,Database,0.0196915719096188,0.7090183184593706,0.6916924541775769,0.6701881249646913,0.8536585365853657,0.2715635331016569,1,3,3.608605028268423,0.5018478680350893,Future-Proof,9.0,9.0,Feature-Based,0.3958804851657669,5.9546647333165165e-06,Declining
objectoriented programming,Programming,0.0196183690400663,0.5711601690934711,0.342073,0.387957,0.6341463414634143,0.1310244007450515,1,1,0.5437599726707774,0.6893771974573556,High-Risk,0.0,0.0,Feature-Based,0.23325279504462418,2.2268661029074623e-06,Declining
deep learning,AI_ML,0.0189351422575764,0.976984499765148,0.260541,0.543536,0.6341463414634143,0.70156024372584,1,0,0.3353946812959547,1.4379859489267386,Stable,0.0,0.0,Feature-Based,0.40642333775507444,6.19633102897471e-06,Declining
apis,Software Engineering,0.0188741398662827,0.6181305777360264,0.327694,0.305944,0.6341463414634143,0.5665329403023175,1,2,-0.3726525648858366,0.3059123527745076,Growing,0.0,0.0,Feature-Based,0.3199655111818056,4.214519891843677e-06,Declining
php,Programming,0.0188741398662827,0.4503147017379052,0.2853606284218041,0.162307214281679,0.6341463414634143,0.1324876028205329,1,1,-0.588900857953508,0.2219444578858924,High-Risk,10.0,10.0,Feature-Based,0.17131164322395964,8.070332272696784e-07,Declining
mongodb,Database,0.0186057293445903,0.6350399248473462,0.2983575339204951,0.2497599005705892,0.6097560975609757,0.0298510461205016,1,1,0.019640636772515,1.0758471371559164,High-Risk,10.0,10.0,Feature-Based,0.16629581862429688,6.920590549189139e-07,Declining
integration testing,Software Engineering,0.0178859011273241,0.4884922498825739,0.244553,0.232038,0.6341463414634143,0.5665329403023175,1,2,-1.1035041167976316,-0.1600173341626885,Growing,0.0,0.0,Feature-Based,0.29287843956011805,3.593622254928946e-06,Declining
torch/pytorch,AI_ML,0.0177272949099604,0.9985908877407236,0.229299,0.512933,0.4634146341463414,1.0,1,0,-0.861557877691106,1.5878012897390128,Stable,7.0,7.0,Linear,8934.785714285681,0.20480260498407635,Declining
azure devops,Cloud,0.0175930896491142,0.559887271019258,0.363839,0.1650754194678266,0.6341463414634143,0.1308896492023329,1,1,-0.1429196770033735,0.6176247411891376,High-Risk,0.0,0.0,Feature-Based,0.17906772820861558,9.848204353496734e-07,Declining
api,Software Engineering,0.0169464643014006,0.5843118835133865,0.280019,0.281231,0.6341463414634143,0.5665329403023175,1,2,-0.6924952835455271,0.1911846598501363,Growing,0.0,0.0,Feature-Based,0.308441458512341,3.950362246082422e-06,Declining
data architecture,Data Engineering,0.0167512566492606,0.7815875998121184,0.274988,0.273058,0.6341463414634143,0.2683583684151263,1,1,-0.1129669012978182,1.2456281593350658,High-Risk,0.0,0.0,Feature-Based,0.23129290324490118,2.181940900063377e-06,Declining
computer vision,AI_ML,0.0166048509101556,0.7721935180836073,0.370147,0.572054,0.6341463414634143,0.70156024372584,1,0,0.6722013792853524,0.7456005088575254,Stable,0.0,0.0,Feature-Based,0.42381435035084813,6.5949728155465985e-06,Declining
embedded systems,Engineering_Systems,0.0165682494753794,0.560826679192109,0.166632,0.09901,0.6341463414634143,0.5665329403023175,1,2,-1.8087619000010584,0.0698960148765635,Growing,0.0,0.0,Feature-Based,0.2514340440645346,2.6436219158016946e-06,Declining
tensorflow,AI_ML,0.0162388365623932,0.9333020197275717,0.338639,0.554918,0.0,0.4031204874516799,1,0,-0.9898439108162128,3.3122601762204407,Stable,7.0,7.0,Linear,6651.785714285739,0.15247102315515124,Declining
system testing,Software Engineering,0.0140915523888536,0.363550962893377,0.243732,0.274488,0.6341463414634143,0.5665329403023175,1,2,-1.0968500583618426,-0.5675550953234946,Growing,0.0,0.0,Feature-Based,0.3022705349385769,3.8089105632263187e-06,Declining
google cloud,Cloud,0.0140061490410424,0.7010239549084076,0.409526,0.2256934636461217,0.6341463414634143,0.1308896492023329,1,1,0.3907572015021475,1.1442007559265903,High-Risk,7.0,7.0,Linear,10912.428571428522,0.2501347026656192,Stable
data pipelines,Data Engineering,0.0139573471280074,0.7261625176139033,0.297995,0.296429,0.6341463414634143,0.2683583684151263,1,1,5.198865034409327e-05,1.072777107540564,High-Risk,0.0,0.0,Feature-Based,0.23859818038852523,2.349394561309347e-06,Declining
agile practices,Software Engineering,0.0139085452149724,0.6155002348520433,0.320796,0.291066,0.6341463414634143,0.5665329403023175,1,2,-0.46408495417385,0.3203275941810727,Growing,0.0,0.0,Feature-Based,0.3140665327864125,4.079301814486875e-06,Declining
cloud security,Cybersecurity,0.01334732321507,0.7252231094410522,0.206796,0.275282,0.6341463414634143,0.5665329403023175,1,2,-0.8782781753867401,0.6985741037294833,Growing,0.0,0.0,Feature-Based,0.2985521661864418,3.723677046527903e-06,Declining
natural language processing,AI_ML,0.013298521302035,0.976984499765148,0.291601,0.56476,0.6341463414634143,0.70156024372584,1,0,0.5257159725300985,1.4740782143717766,Stable,0.0,0.0,Feature-Based,0.413144351468412,6.350392036032469e-06,Declining
golang,Programming,0.01315211556293,0.8661343353687176,0.535694,0.412113,0.6341463414634143,0.1310244007450515,1,1,1.7165985822091596,1.768176492845606,High-Risk,0.0,0.0,Feature-Based,0.2567140190014833,2.7646510180652118e-06,Declining
a/b testing,Software Engineering,0.0127739007369088,0.4429309534992953,0.223927,0.303427,0.6341463414634143,0.5665329403023175,1,2,-1.0011557768772457,-0.2781922359840733,Growing,0.0,0.0,Feature-Based,0.30712948944299345,3.920288914190359e-06,Declining
