skill,sub_category,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate,history_found
google cloud,Cloud,0.0140061490410424,0.7010239549084076,0.409526,0.2256934636461217,160.0,0.1308896492023329,1
data pipelines,Data Engineering,0.0139573471280074,0.7261625176139033,0.297995,0.296429,160.0,0.2683583684151263,1
agile practices,Software Engineering,0.0139085452149724,0.6155002348520433,0.320796,0.291066,160.0,0.5665329403023175,1
cloud security,Cybersecurity,0.01334732321507,0.7252231094410522,0.206796,0.275282,160.0,0.5665329403023175,1
natural language processing,AI_ML,0.013298521302035,0.976984499765148,0.291601,0.56476,160.0,0.70156024372584,1
golang,Programming,0.01315211556293,0.8661343353687176,0.535694,0.412113,160.0,0.1310244007450515,1
a/b testing,Software Engineering,0.0127739007369088,0.4429309534992953,0.223927,0.303427,160.0,0.5665329403023175,1
gitlab,DevOps,0.0127372993021326,0.5861906998590889,0.340954,0.4316140331054742,160.0,0.3685684406574158,1
advanced excel,Data Analytics,0.0125786930847689,0.2629168623767026,0.243529,0.33398,160.0,0.5665329403023175,1
performance testing,Software Engineering,0.0124566883021814,0.4776843588539221,0.301821,0.344862,160.0,0.5665329403023175,1
penetration testing,Cybersecurity,0.0123468839978527,0.6312822921559418,0.225653,0.278175,160.0,0.5665329403023175,1
nosql databases,Database,0.0123102825630764,0.6741193048379521,0.310858,0.228314,160.0,0.2160152322616729,1
