skill,year,demand,adoption_rate
groovy,2024,2004,0.030624875834772376
groovy,2025,1535,0.031082312443049508
gtk,2022,1380,0.01883496205710542
gtk,2023,1690,0.018949587369931825
gtk,2024,1176,0.017971484022800556
h2,2023,2808,0.03148546824542519
h2,2024,2006,0.030655439583110473
h2,2025,1303,0.02638452971550066
hadoop,2021,2155,0.025827251045674085
hadoop,2022,1581,0.021578315226292517
hadoop,2023,1539,0.017256458557588804
hadoop,2024,1047,0.01600012225499335
haskell,2021,1749,0.020961420918275627
haskell,2022,1577,0.02152372113337337
haskell,2023,1829,0.02050816289917474
haskell,2024,1193,0.018231275883674375
heroku,2021,12897,0.1545680077661525
heroku,2022,10160,0.13866899601463123
heroku,2023,8358,0.09371636167922498
heroku,2024,3798,0.05804055809404465
heroku,2025,1318,0.026688265667712867
hetzner,2023,3069,0.034412002152852526
hetzner,2024,2301,0.03516359246297966
homebrew,2022,14420,0.19681170497352188
homebrew,2023,17647,0.19787181557229996
homebrew,2024,12081,0.18462032183627
homebrew,2025,6291,0.12738685835780095
html/css,2021,46259,0.554405014441688
html/css,2022,39142,0.5342304962603046
html/css,2023,46396,0.5202278435593829
html/css,2024,31816,0.48620810856243407
html/css,2025,19698,0.3988660524450744
htmx,2024,1591,0.024313461802955516
hugging face transformers,2022,925,0.012624883987552547
hugging face transformers,2023,1852,0.020766056691783278
hugging face transformers,2024,2038,0.03114445955652001
ibm cloud,2025,294,0.00595322466335932
ibm cloud or watson,2021,1373,0.016455134888960797
ibm cloud or watson,2022,853,0.011642190315007916
ibm cloud or watson,2023,801,0.008981431646932185
ibm cloud or watson,2024,506,0.007732628329538334
ibm db2,2021,1438,0.01723414710147533
ibm db2,2022,1219,0.016637549817109788
ibm db2,2023,1414,0.01585486185862935
ibm db2,2024,914,0.013967632990509956
ibm db2,2025,615,0.012453174040700617
influxdb,2023,2091,0.023445909580193755
influxdb,2024,1338,0.020447147638186346
influxdb,2025,963,0.019499848132023895
ionic,2022,2417,0.03298848064639406
ionic,2023,1948,0.02184248295658414
ionic,2024,1132,0.01729908155936244
java,2021,29162,0.3495008329438272
java,2022,23644,0.32270568324507287
java,2023,26757,0.300020182992465
java,2024,18239,0.27872610296926814
java,2025,9358,0.18949073605345754
javascript,2021,53587,0.6422296528002492
javascript,2022,46443,0.6338783643609761
javascript,2023,55711,0.6246748295658414
javascript,2024,37492,0.5729480263459511
javascript,2025,21005,0.4253315784144983
jax,2023,641,0.007187387872264083
jax,2024,477,0.00728945397863594
jquery,2021,21693,0.25998633732427284
jquery,2022,15602,0.21294425943112955
jquery,2023,15784,0.17698241837100825
jquery,2024,10381,0.15864113574888825
jquery,2025,5541,0.11220006074719044
julia,2021,1068,0.012799769891777226
julia,2022,1084,0.014794999181088606
julia,2023,1010,0.011324901327592393
julia,2024,684,0.010452801931628895
keras,2021,4930,0.059085080118409856
keras,2022,3333,0.04549052792487853
keras,2023,2839,0.031833064226767134
keras,2024,1968,0.030074728364686644
kotlin,2021,6866,0.08228765924807345
kotlin,2022,6507,0.088810940656221
kotlin,2023,7935,0.08897335844994618
kotlin,2024,5665,0.08657181716765744
kotlin,2025,3420,0.06925179710438392
ktor,2023,740,0.008297452457839971
ktor,2024,559,0.008542567660497883
kubernetes,2021,12115,0.14519589160943924
kubernetes,2022,12624,0.17229895725282524
kubernetes,2023,15260,0.1711069250089702
kubernetes,2024,10503,0.16050552439751212
kubernetes,2025,6993,0.1416017009213324
laravel,2021,6377,0.07642709044931027
laravel,2022,5159,0.07041273134246874
laravel,2023,5440,0.06099748833871547
laravel,2024,3834,0.05859070556413039
laravel,2025,2111,0.04274577300799838
lest,2023,55,0.0006167025475421601
liblittletest,2023,37,0.00041487262289199855
linode,2022,1994,0.027215155320194355
"linode, now akamai",2023,2755,0.03089119124506638
"linode, now akamai",2024,1425,0.02177667069089353
lisp,2021,1096,0.013135344383321947
lisp,2022,932,0.012720423650161053
lisp,2023,1342,0.015047542160028704
lisp,2024,889,0.013585586136283754
lisp,2025,753,0.015247544801052951
lit,2023,490,0.0054942590599210625
llvm's clang,2023,5959,0.06681691783279511
lua,2022,2867,0.039130316099798
lua,2023,5336,0.0598313598851812
lua,2024,3728,0.05697082690221129
lua,2025,2910,0.05892477472916877
make,2023,16161,0.18120963401506998
make,2024,11259,0.17205862126931246
make,2025,5682,0.11505517869798522
managed hosting,2022,2927,0.0399492274935852
managed hosting,2023,2379,0.02667518837459634
managed hosting,2024,1386,0.021180677598300654
mariadb,2021,12088,0.14487230192116396
mariadb,2022,10912,0.1489326854834307
mariadb,2023,13495,0.1513163796196627
mariadb,2024,8991,0.13739933065391138
mariadb,2025,5862,0.11870001012453174
matlab,2021,3846,0.04609355337432136
matlab,2022,2913,0.03975814816836818
matlab,2023,3339,0.03743945102260495
matlab,2024,2378,0.03634029677399636
matlab,2025,1231,0.02492659714488205
maven (build tool),2023,12109,0.1357754754216003
maven (build tool),2024,8435,0.12890260861592065
maven (build tool),2025,4022,0.08144173331983395
meson,2023,1052,0.01179583781844277
mfc,2023,671,0.007523771080014352
mfc,2024,469,0.007167198985283555
micronaut,2023,441,0.0049448331539289556
micropython,2024,942,0.014395525467243302
micropython,2025,723,0.01464007289662853
microsoft access,2023,3257,0.036520003588087546
microsoft access,2024,2193,0.033513150052722464
microsoft access,2025,1244,0.02518983497013263
microsoft sql server,2021,18896,0.22646484257960905
microsoft sql server,2022,16355,0.2232215974231588
microsoft sql server,2023,19506,0.21871636167922498
microsoft sql server,2024,13275,0.20286687959411343
microsoft sql server,2025,7871,0.15938037865748708
mlflow,2024,531,0.008114675183764537
mojo,2025,145,0.0029361142047180317
mongodb,2021,19479,0.23345198288570093
mongodb,2022,17228,0.23513675820276247
mongodb,2023,19556,0.21927700035880876
mongodb,2024,13007,0.19877133731680854
mongodb,2025,6267,0.1269008808342614
msbuild,2023,8520,0.09553283100107643
msbuild,2024,5973,0.09127863441172425
msbuild,2025,2700,0.054672471398197836
msvc,2023,3666,0.041106027987082884
mysql,2021,35289,0.42293172257577394
mysql,2022,28520,0.38925588251351206
mysql,2023,31489,0.35307902762827414
mysql,2024,21099,0.3224322630927457
mysql,2025,10581,0.21425534069049307
neo4j,2022,1291,0.01762024348965442
neo4j,2023,1432,0.016056691783279512
neo4j,2024,998,0.015251310420709995
neo4j,2025,691,0.013992102865242483
nestjs,2023,3681,0.04127421959095802
nestjs,2024,2832,0.043278267646744195
nestjs,2025,1596,0.032317505315379164
netlify,2023,6228,0.06983315392895587
netlify,2024,3238,0.049482708559377725
netlify,2025,1433,0.02901690796800648
new relic,2025,936,0.018953123418041916
next.js,2022,7386,0.10080799257520336
next.js,2023,11972,0.13423932543954073
next.js,2024,8681,0.1326619496615065
next.js,2025,4933,0.09988863015085553
nim,2023,331,0.003711428058844636
nim,2024,210,0.0032091935755000993
ninja,2023,2928,0.03283100107642627
ninja,2024,2212,0.03380350566193438
ninja,2025,1272,0.025756808747595422
nix,2023,1647,0.018467438105489772
nix,2024,1450,0.022158717545119732
nodejs,2021,27975,0.33527487146298496
nodejs,2022,25733,0.35121744827209694
nodejs,2023,30626,0.34340240401865807
nodejs,2024,19772,0.3021532160704189
nodejs,2025,11544,0.23375518882251695
npm,2022,35778,0.48831686411530273
npm,2023,39609,0.4441267491926803
npm,2024,26866,0.41056283142564604
npm,2025,13906,0.28158347676419965
nuget,2023,12235,0.1371882848941514
nuget,2024,8703,0.13299815089322556
nuget,2025,4637,0.09389490736053457
numpy,2021,16445,0.19709008976617648
numpy,2022,13144,0.17939618933231424
numpy,2023,13614,0.15265069967707212
numpy,2024,9718,0.14850925317480937
nuxt.js,2022,2089,0.028511765027024075
nuxt.js,2023,2652,0.029736275565123788
nuxt.js,2024,1753,0.026789125418341306
nuxt.js,2025,948,0.019196112179811684
objective-c,2021,2310,0.02768489555243951
objective-c,2022,1698,0.02317519244417754
objective-c,2023,2019,0.02263858988159311
objective-c,2024,1283,0.019606644558888702
ocaml,2022,422,0.005759676802969919
ocaml,2023,614,0.006884642985288841
ocaml,2024,458,0.0069990983694240266
ocaml,2025,367,0.007431406297458742
opencl,2024,785,0.011996271222702753
opencv,2023,5455,0.061165679942590596
opencv,2024,3961,0.060531503583599496
opengl,2023,4664,0.05229637603157517
opengl,2024,3122,0.047710011155768145
openshift,2023,1671,0.01873654467168999
openshift,2024,1120,0.017115699069333863
openstack,2022,1029,0.014044330403450347
openstack,2023,1076,0.012064944384642985
openstack,2024,716,0.010941821905038434
oracle,2021,8868,0.10628123539352101
oracle,2022,6994,0.09545777146912704
oracle,2023,7507,0.084174291352709
oracle,2024,5273,0.08058132249339059
oracle,2025,2761,0.055907664270527485
oracle cloud infrastructure,2021,1014,0.012152590515226692
oracle cloud infrastructure,2022,1110,0.015149860785063056
oracle cloud infrastructure (oci),2023,1810,0.020295120200932902
oracle cloud infrastructure (oci),2024,1332,0.02035545639317206
ovh,2022,1913,0.026109624938581644
ovh,2023,2378,0.026663975601004666
ovh,2024,1397,0.021348778214160185
pacman,2023,5280,0.059203444564047365
pacman,2024,3702,0.05657349817381604
pacman,2025,2124,0.04300901083324896
pandas,2021,13664,0.16376035187382398
pandas,2022,11506,0.1570399082819239
pandas,2023,12756,0.1430301399354144
pandas,2024,9501,0.1451930864801259
perl,2021,2028,0.024305181030453385
perl,2022,1644,0.022438172189769068
perl,2023,2151,0.024118675995694294
perl,2024,1482,0.022647737518529273
perl,2025,1215,0.024602612129189023
phoenix,2022,1164,0.01588688103947153
phoenix,2023,1468,0.016460351632579834
phoenix,2024,930,0.014212142977214726
phoenix,2025,568,0.011501468057102358
php,2021,18130,0.21728448327520702
php,2022,14827,0.20236665392804498
php,2023,16274,0.18247667743092932
php,2024,10951,0.16735180402524566
php,2025,5994,0.12137288650399919
pip,2023,23281,0.2610445819878005
pip,2024,17561,0.26836499228265354
pip,2025,10025,0.20299686139516046
play framework,2022,450,0.006141835453403942
play framework,2023,545,0.006110961607463222
play framework,2024,387,0.005914085303421612
pnpm,2023,5036,0.056467527807678504
pnpm,2024,4836,0.07390314348151657
pnpm,2025,3290,0.0666194188518781
pocketbase,2025,262,0.005305254631973271
podman,2023,3129,0.03508476856835307
podman,2024,2682,0.040985986521386984
podman,2025,2730,0.05527994330262225
poetry,2025,2214,0.044831426546522224
postgresql,2021,28424,0.34065604813096995
postgresql,2022,26538,0.3622045094720751
postgresql,2023,34909,0.3914267133118048
postgresql,2024,25536,0.3902379387808121
postgresql,2025,14529,0.2941986433127468
powershell,2021,8871,0.10631718980332938
powershell,2022,8575,0.11703608669541955
powershell,2023,11902,0.13345443128812343
powershell,2024,8328,0.1272674480798325
powershell,2025,7371,0.14925584691708008
presto,2024,323,0.004936045356602534
prolog,2023,776,0.008701112307140295
prolog,2024,486,0.007426990846157373
prolog,2025,338,0.006844183456515136
prometheus,2025,2883,0.0583780500151868
pulumi,2021,368,0.004410407603159194
pulumi,2022,461,0.006291969208931594
pulumi,2023,659,0.007389217796914245
pulumi,2024,495,0.007564527713678806
puppet,2021,1313,0.015736046692793538
puppet,2022,1025,0.0139897363105312
puppet,2023,900,0.010091496232508074
puppet,2024,629,0.00961229885233125
python,2021,39792,0.4768992916981268
python,2022,34155,0.46616531091335917
python,2023,43158,0.48392088266953714
python,2024,30719,0.46944389259898833
python,2025,18410,0.37278525868178597
pythonanywhere,2024,892,0.013631431758790898
pytorch,2021,4808,0.05762293411953643
pytorch,2022,3952,0.0539389638041164
pytorch,2023,5884,0.06597595981341944
pytorch,2024,4846,0.07405596222320705
qmake,2023,983,0.01102215644061715
qt,2021,4812,0.057670873332614246
qt,2022,3906,0.05331113173554621
qt,2023,4401,0.04934741657696448
qt,2024,3360,0.05134709720800159
quarkus,2023,763,0.008555346250448511
quarkus,2024,585,0.008939896388893134
qwik,2023,389,0.004361768927161822
r,2021,4185,0.05015640168266638
r,2022,3308,0.04514931484413386
r,2023,3702,0.04150968783638321
r,2024,2595,0.0396564634686798
r,2025,1569,0.03177078060139719
rabbitmq,2023,6942,0.07783907427341227
rabbitmq,2024,5010,0.07656218958693094
railway,2025,360,0.007289662853093045
raku,2023,156,0.0017491926803013993
ravendb,2023,227,0.0025452996053103695
ravendb,2024,159,0.002429817992878647
react,2021,25296,0.30316758350411677
react,2022,23277,0.3176966752197412
react,2023,29137,0.326706584140653
react,2024,19167,0.2929076821981448
react,2025,10596,0.21455907664270527
react native,2021,7051,0.08450484785292249
react native,2022,5765,0.07868373641971939
react native,2023,5667,0.06354278794402583
react native,2024,3832,0.05856014181579229
redis,2021,14552,0.17440285717709944
redis,2022,13471,0.18385925642845444
redis,2023,15639,0.17535656620021528
redis,2024,10463,0.15989424943075017
redis,2025,7316,0.1481421484256353
remix,2023,912,0.01022604951560818
remix,2024,757,0.011568378745969405
render,2023,1287,0.014430839612486545
render,2024,1305,0.01994284579060776
roslyn,2024,755,0.01153781499763131
ruby,2021,5569,0.06674336940759118
ruby,2022,4299,0.058675001364852326
ruby,2023,5454,0.06115446716899892
ruby,2024,3147,0.048092058009994346
ruby,2025,2046,0.04142958388174547
ruby on rails,2021,4438,0.05318855690983833
ruby on rails,2022,3182,0.04342960091718076
ruby on rails,2023,3940,0.04417832795120201
ruby on rails,2024,2294,0.03505661934379632
ruby on rails,2025,1395,0.02824744355573555
ruff,2024,1355,0.020706939499060165
rust,2021,5799,0.06949987415956567
rust,2022,6625,0.09042146639733581
rust,2023,11427,0.1281283638320775
rust,2024,7559,0.11551568684383452
rust,2025,4724,0.09565657588336539
sas,2022,435,0.005937107604957144
sas,2023,427,0.004787854323645497
scala,2021,2148,0.025743357422787903
scala,2022,1837,0.025072337173117867
scala,2023,2422,0.027157337639038392
scala,2024,1547,0.0236410593395174
scala,2025,843,0.017069960514326212
scaleway,2023,628,0.0070416218155723
scaleway,2024,396,0.006051622170943045
scikit-learn,2022,5776,0.07883387017524704
scikit-learn,2023,6339,0.07107777179763186
scikit-learn,2024,4849,0.0741018078457142
scons,2023,378,0.004238428417653391
snitch,2023,55,0.0006167025475421601
snowflake,2023,1820,0.02040724793684966
snowflake,2024,1364,0.0208444763665816
snowflake,2025,1079,0.021848739495798318
solid.js,2023,979,0.010977305346250448
solid.js,2024,590,0.009016305759738375
solidity,2022,1031,0.01407162744990992
solidity,2023,1168,0.013096519555077143
solidity,2024,644,0.00984152696486697
solr,2023,1189,0.013331987800502333
solr,2024,766,0.011705915613490839
splunk,2025,1105,0.022375215146299483
spring,2021,9177,0.1099845396037824
spring,2022,7399,0.10098542337719059
spring boot,2023,8583,0.09623923573735199
spring boot,2024,6165,0.0942127542521815
spring boot,2025,3481,0.07048698997671357
spring framework,2023,7460,0.08364729099390025
spring framework,2024,5091,0.07780002139462383
sql,2021,38835,0.465429834969259
sql,2022,35127,0.4794316754927117
sql,2023,42623,0.47792204879799066
sql,2024,30682,0.46887846325473354
sql,2025,18633,0.3773007998380075
sqlite,2021,22634,0.27126403720082937
sqlite,2022,19487,0.26596877217885023
sqlite,2023,23678,0.26549605310369573
sqlite,2024,17365,0.2653697449455201
sqlite,2025,9798,0.1984003239850157
strapi,2024,815,0.012454727447774195
supabase,2023,2122,0.023793505561535703
supabase,2024,3845,0.058758806179989916
supabase,2025,2878,0.05827680469778273
svelte,2021,1735,0.020793633672503267
svelte,2022,2500,0.034121308074466346
svelte,2023,4753,0.053294312881234304
svelte,2024,3146,0.0480767761358253
svelte,2025,1717,0.03476764199655766
swift,2021,4204,0.05038411294478601
swift,2022,3489,0.04761969754872523
swift,2023,4072,0.045658414065303195
swift,2024,2829,0.04323242202423705
swift,2025,1719,0.034808140123519286
swiftui,2023,2643,0.02963536060279871
swiftui,2024,1986,0.03034980209972951
symfony,2021,2427,0.029087117534965665
symfony,2022,1955,0.02668286291423268
symfony,2023,2301,0.02580059203444564
symfony,2024,1531,0.02339654935281263
symfony,2025,949,0.0192163612432925
tauri,2023,1516,0.016998564764980264
tauri,2024,1114,0.017024007824319575
tensorflow,2021,8034,0.0962859094667961
