skill,year,demand
Express,2025,4710
F#,2021,804
F#,2022,730
F#,2023,849
F#,2024,512
F#,2025,406
FastAPI,2021,2447
FastAPI,2022,3289
FastAPI,2023,5325
FastAPI,2024,4800
FastAPI,2025,3504
Fastify,2022,1008
Fastify,2023,1474
Fastify,2024,1070
Fastify,2025,692
Firebase,2021,11373
Firebase,2022,10751
Firebase,2023,10761
Firebase,2024,6443
Firebase,2025,3200
Firebase Realtime Database,2022,5309
Firebase Realtime Database,2023,4939
Firebase Realtime Database,2024,3018
Firebase Realtime Database,2025,1299
Firebird,2023,1152
Firebird,2024,563
Flask,2021,10174
Flask,2022,7994
Flask,2023,8734
Flask,2024,6245
Flask,2025,3406
Flow,2021,929
Flow,2022,444
Flow,2023,214
Flutter,2021,6586
Flutter,2022,5799
Flutter,2023,6132
Flutter,2024,4293
Fly.io,2023,1649
Fly.io,2024,1189
Fortran,2022,646
Fortran,2023,833
Fortran,2024,665
Fortran,2025,449
GDScript,2023,1495
GDScript,2024,1402
GDScript,2025,1062
GNU GCC,2023,10038
GTK,2022,1380
GTK,2023,1690
GTK,2024,1176
Gatsby,2021,2501
Gatsby,2022,1889
Gatsby,2023,1675
Gatsby,2024,758
Git,2021,68171
Gleam,2025,354
Go,2021,7879
Go,2022,7922
Go,2023,11592
Go,2024,8103
Go,2025,5219
Godot,2023,2478
Godot,2024,2363
Google Cloud,2022,13634
Google Cloud,2023,16592
Google Cloud,2024,11605
Google Cloud,2025,6015
Google Cloud Platform,2021,16687
Google Test,2023,2146
Google Test,2024,1678
Gradle,2023,11961
Gradle,2024,8310
Gradle,2025,3523
Groovy,2021,2479
Groovy,2022,2357
Groovy,2023,2976
Groovy,2024,2004
Groovy,2025,1535
H2,2023,2808
H2,2024,2006
H2,2025,1303
HTML/CSS,2021,46259
HTML/CSS,2022,39142
HTML/CSS,2023,46396
HTML/CSS,2024,31816
HTML/CSS,2025,19698
Hadoop,2021,2155
Hadoop,2022,1581
Hadoop,2023,1539
Hadoop,2024,1047
Haskell,2021,1749
Haskell,2022,1577
Haskell,2023,1829
Haskell,2024,1193
Heroku,2021,12897
Heroku,2022,10160
Heroku,2023,8358
Heroku,2024,3798
Heroku,2025,1318
Hetzner,2023,3069
Hetzner,2024,2301
Homebrew,2022,14420
Homebrew,2023,17647
Homebrew,2024,12081
Homebrew,2025,6291
Htmx,2024,1591
Hugging Face Transformers,2022,925
Hugging Face Transformers,2023,1852
Hugging Face Transformers,2024,2038
IBM Cloud,2025,294
IBM Cloud Or Watson,2023,801
IBM Cloud Or Watson,2024,506
IBM Cloud or Watson,2021,1373
IBM Cloud or Watson,2022,853
IBM DB2,2021,1438
IBM DB2,2022,1219
IBM DB2,2023,1414
IBM DB2,2024,914
IBM DB2,2025,615
InfluxDB,2023,2091
InfluxDB,2024,1338
InfluxDB,2025,963
Ionic,2022,2417
Ionic,2023,1948
Ionic,2024,1132
JAX,2023,641
JAX,2024,477
Java,2021,29162
Java,2022,23644
Java,2023,26757
Java,2024,18239
Java,2025,9358
JavaScript,2021,53587
JavaScript,2022,46443
JavaScript,2023,55711
JavaScript,2024,37492
JavaScript,2025,21005
Julia,2021,1068
Julia,2022,1084
Julia,2023,1010
Julia,2024,684
Keras,2021,4930
Keras,2022,3333
Keras,2023,2839
Keras,2024,1968
Kotlin,2021,6866
Kotlin,2022,6507
Kotlin,2023,7935
Kotlin,2024,5665
Kotlin,2025,3420
Ktor,2023,740
Ktor,2024,559
Kubernetes,2021,12115
Kubernetes,2022,12624
Kubernetes,2023,15260
Kubernetes,2024,10503
Kubernetes,2025,6993
LISP,2021,1096
LISP,2022,932
LLVM's Clang,2023,5959
Laravel,2021,6377
Laravel,2022,5159
Laravel,2023,5440
Laravel,2024,3834
Laravel,2025,2111
Linode,2022,1994
"Linode, now Akamai",2023,2755
"Linode, now Akamai",2024,1425
Lisp,2023,1342
Lisp,2024,889
Lisp,2025,753
Lit,2023,490
Lua,2022,2867
Lua,2023,5336
Lua,2024,3728
Lua,2025,2910
MATLAB,2022,2913
MATLAB,2023,3339
MATLAB,2024,2378
MATLAB,2025,1231
MFC,2023,671
MFC,2024,469
MSBuild,2023,8520
MSBuild,2024,5973
MSBuild,2025,2700
MSVC,2023,3666
Make,2023,16161
Make,2024,11259
Make,2025,5682
Managed Hosting,2022,2927
Managed Hosting,2023,2379
Managed Hosting,2024,1386
MariaDB,2021,12088
MariaDB,2022,10912
MariaDB,2023,13495
MariaDB,2024,8991
MariaDB,2025,5862
Matlab,2021,3846
Maven (build tool),2023,12109
Maven (build tool),2024,8435
Maven (build tool),2025,4022
Meson,2023,1052
MicroPython,2024,942
MicroPython,2025,723
Micronaut,2023,441
Microsoft Access,2023,3257
Microsoft Access,2024,2193
Microsoft Access,2025,1244
Microsoft Azure,2021,16540
Microsoft Azure,2022,14604
Microsoft Azure,2023,18105
Microsoft Azure,2024,12850
Microsoft Azure,2025,6447
Microsoft SQL Server,2021,18896
Microsoft SQL Server,2022,16355
Microsoft SQL Server,2023,19506
Microsoft SQL Server,2024,13275
Microsoft SQL Server,2025,7871
Mojo,2025,145
MongoDB,2021,19479
MongoDB,2022,17228
MongoDB,2023,19556
MongoDB,2024,13007
MongoDB,2025,6267
MySQL,2021,35289
MySQL,2022,28520
MySQL,2023,31489
MySQL,2024,21099
MySQL,2025,10581
Neo4J,2023,1432
Neo4J,2024,998
Neo4J,2025,691
Neo4j,2022,1291
NestJS,2023,3681
NestJS,2024,2832
NestJS,2025,1596
Netlify,2023,6228
Netlify,2024,3238
Netlify,2025,1433
New Relic,2025,936
Next.js,2022,7386
Next.js,2023,11972
Next.js,2024,8681
Next.js,2025,4933
Nim,2023,331
Nim,2024,210
Ninja,2023,2928
Ninja,2024,2212
Ninja,2025,1272
Nix,2023,1647
Nix,2024,1450
Node.js,2021,27975
Node.js,2022,25733
Node.js,2023,30626
Node.js,2024,19772
Node.js,2025,11544
NuGet,2023,12235
NuGet,2024,8703
NuGet,2025,4637
NumPy,2021,16445
NumPy,2022,13144
NumPy,2023,13614
NumPy,2024,9718
Nuxt.js,2022,2089
Nuxt.js,2023,2652
Nuxt.js,2024,1753
Nuxt.js,2025,948
OCaml,2022,422
OCaml,2023,614
OCaml,2024,458
OCaml,2025,367
OVH,2022,1913
OVH,2023,2378
OVH,2024,1397
Objective-C,2021,2310
Objective-C,2022,1698
Objective-C,2023,2019
Objective-C,2024,1283
OpenCL,2024,785
OpenGL,2023,4664
OpenGL,2024,3122
OpenShift,2023,1671
OpenShift,2024,1120
OpenStack,2022,1029
OpenStack,2023,1076
OpenStack,2024,716
Opencv,2023,5455
Opencv,2024,3961
Oracle,2021,8868
Oracle,2022,6994
Oracle,2023,7507
Oracle,2024,5273
Oracle,2025,2761
Oracle Cloud Infrastructure,2021,1014
Oracle Cloud Infrastructure,2022,1110
Oracle Cloud Infrastructure (OCI),2023,1810
Oracle Cloud Infrastructure (OCI),2024,1332
PHP,2021,18130
PHP,2022,14827
PHP,2023,16274
PHP,2024,10951
PHP,2025,5994
Pacman,2023,5280
Pacman,2024,3702
Pacman,2025,2124
Pandas,2021,13664
Pandas,2022,11506
Pandas,2023,12756
Pandas,2024,9501
Perl,2021,2028
Perl,2022,1644
Perl,2023,2151
Perl,2024,1482
Perl,2025,1215
Phoenix,2022,1164
Phoenix,2023,1468
Phoenix,2024,930
Phoenix,2025,568
Pip,2023,23281
Pip,2024,17561
Pip,2025,10025
Play Framework,2022,450
Play Framework,2023,545
Play Framework,2024,387
Pocketbase,2025,262
Podman,2023,3129
Podman,2024,2682
Podman,2025,2730
Poetry,2025,2214
PostgreSQL,2021,28424
PostgreSQL,2022,26538
PostgreSQL,2023,34909
PostgreSQL,2024,25536
PostgreSQL,2025,14529
PowerShell,2021,8871
PowerShell,2022,8575
PowerShell,2023,11902
PowerShell,2024,8328
PowerShell,2025,7371
Presto,2024,323
Prolog,2023,776
Prolog,2024,486
Prolog,2025,338
Prometheus,2025,2883
Pulumi,2021,368
Pulumi,2022,461
Pulumi,2023,659
Pulumi,2024,495
Puppet,2021,1313
Puppet,2022,1025
Puppet,2023,900
Puppet,2024,629
Python,2021,39792
Python,2022,34155
Python,2023,43158
Python,2024,30719
Python,2025,18410
PythonAnywhere,2024,892
QMake,2023,983
Qt,2021,4812
Qt,2022,3906
Qt,2023,4401
Qt,2024,3360
Quarkus,2023,763
Quarkus,2024,585
Qwik,2023,389
R,2021,4185
R,2022,3308
R,2023,3702
R,2024,2595
R,2025,1569
RabbitMQ,2023,6942
RabbitMQ,2024,5010
Railway,2025,360
Raku,2023,156
RavenDB,2023,227
RavenDB,2024,159
React,2023,29137
React,2024,19167
React,2025,10596
React Native,2021,7051
React Native,2022,5765
React Native,2023,5667
React Native,2024,3832
React.js,2021,25296
React.js,2022,23277
Redis,2021,14552
Redis,2022,13471
Redis,2023,15639
Redis,2024,10463
Redis,2025,7316
Remix,2023,912
Remix,2024,757
Render,2023,1287
Render,2024,1305
Roslyn,2024,755
Ruby,2021,5569
Ruby,2022,4299
Ruby,2023,5454
Ruby,2024,3147
Ruby,2025,2046
Ruby on Rails,2021,4438
Ruby on Rails,2022,3182
Ruby on Rails,2023,3940
Ruby on Rails,2024,2294
Ruby on Rails,2025,1395
Ruff,2024,1355
Rust,2021,5799
Rust,2022,6625
Rust,2023,11427
Rust,2024,7559
Rust,2025,4724
SAS,2022,435
SAS,2023,427
SCons,2023,378
SQL,2021,38835
SQL,2022,35127
SQL,2023,42623
SQL,2024,30682
SQL,2025,18633
SQLite,2021,22634
SQLite,2022,19487
SQLite,2023,23678
SQLite,2024,17365
SQLite,2025,9798
Scala,2021,2148
Scala,2022,1837
Scala,2023,2422
Scala,2024,1547
Scala,2025,843
Scaleway,2023,628
Scaleway,2024,396
Scikit-Learn,2023,6339
Scikit-Learn,2024,4849
Scikit-learn,2022,5776
Snowflake,2023,1820
Snowflake,2024,1364
Snowflake,2025,1079
Solid.js,2023,979
Solid.js,2024,590
Solidity,2022,1031
Solidity,2023,1168
Solidity,2024,644
Solr,2023,1189
Solr,2024,766
Splunk,2025,1105
Spring,2021,9177
Spring,2022,7399
Spring Boot,2023,8583
Spring Boot,2024,6165
Spring Boot,2025,3481
Spring Framework,2023,7460
Spring Framework,2024,5091
Strapi,2024,815
Supabase,2023,2122
Supabase,2024,3845
Supabase,2025,2878
Svelte,2021,1735
Svelte,2022,2500
Svelte,2023,4753
Svelte,2024,3146
Svelte,2025,1717
Swift,2021,4204
Swift,2022,3489
Swift,2023,4072
Swift,2024,2829
Swift,2025,1719
SwiftUI,2023,2643
SwiftUI,2024,1986
Symfony,2021,2427
Symfony,2022,1955
Symfony,2023,2301
Symfony,2024,1531
Symfony,2025,949
Tauri,2023,1516
Tauri,2024,1114
TensorFlow,2021,8034
TensorFlow,2022,5942
TensorFlow,2023,6405
TensorFlow,2024,4638
Terraform,2021,5442
Terraform,2022,6160
Terraform,2023,9068
Terraform,2024,5754
Terraform,2025,4349
TiDB,2023,157
TiDB,2024,127
Tidyverse,2022,996
Tidyverse,2023,1045
Tidyverse,2024,768
Torch/PyTorch,2021,4808
Torch/PyTorch,2022,3952
Torch/PyTorch,2023,5884
Torch/PyTorch,2024,4846
TypeScript,2021,24909
TypeScript,2022,24752
TypeScript,2023,34041
TypeScript,2024,23150
TypeScript,2025,13859
Unity 3D,2021,7206
Unity 3D,2022,5840
Unity 3D,2023,5561
Unity 3D,2024,3179
Uno Platform,2022,334
Uno Platform,2023,357
Unreal Engine,2021,2339
Unreal Engine,2022,2180
Unreal Engine,2023,2482
Unreal Engine,2024,1639
VBA,2021,3847
VBA,2022,3185
VBA,2023,3107
VBA,2024,2248
VBA,2025,1334
VMware,2022,4429
VMware,2023,4964
VMware,2024,3043
Valkey,2025,632
Vercel,2023,7431
Vercel,2024,5491
Vercel,2025,2602
Visual Basic (.Net),2023,3568
Visual Basic (.Net),2024,2499
Visual Basic (.Net),2025,1409
Visual Studio Solution,2023,11751
Visual Studio Solution,2024,8315
Vite,2023,11807
Vite,2024,10804
Vite,2025,6215
Vue.js,2021,11954
Vue.js,2022,10278
Vue.js,2023,11758
Vue.js,2024,7483
Vue.js,2025,4162
Vultr,2023,1357
Vultr,2024,798
Wasmer,2023,431
Webpack,2023,16665
Webpack,2024,9970
Webpack,2025,4500
WordPress,2023,9604
WordPress,2024,5711
WordPress,2025,3227
Xamarin,2021,2844
Xamarin,2022,2388
Xamarin,2023,2233
Xamarin,2024,1333
Yandex Cloud,2025,165
Yarn,2021,12937
Yarn,2022,15175
Yarn,2023,17545
Yarn,2024,10209
Yarn,2025,5178
Yii 2,2024,454
Zephyr,2024,184
Zig,2023,729
Zig,2024,667
Zig,2025,680
bandit,2023,362
build2,2023,159
cppunit,2023,346
doctest,2023,393
jQuery,2021,21693
jQuery,2022,15602
jQuery,2023,15784
jQuery,2024,10381
jQuery,2025,5541
lest,2023,55
liblittletest,2023,37
mlflow,2024,531
npm,2022,35778
npm,2023,39609
npm,2024,26866
npm,2025,13906
pnpm,2023,5036
pnpm,2024,4836
pnpm,2025,3290
snitch,2023,55
tunit,2023,69
