skill,sub_category,linkedin_demand,salary_premium,current_usage,future_interest,global_adoption_score,growth_rate,history_found,cluster,pc1,pc2,archetype
docker,DevOps,0.0763017910302083,0.6782527007984969,0.8290407045941441,0.6916558386531835,0.7317073170731705,0.2510784672300354,1,3,3.957730622884438,0.4388604191690028,Future-Proof
statistics,Data Analytics,0.0749841393782636,0.2790042273367777,0.2899,0.264691,0.6341463414634143,0.5665329403023175,1,2,-0.9108668155034176,-1.1924069334912117,Growing
statistical analysis,Data Analytics,0.0745205212044312,0.3964302489431657,0.220089,0.348291,0.6341463414634143,0.5665329403023175,1,2,-0.7946773430099392,-0.7660293852507803,Growing
git,DevOps,0.0720926260309404,0.5631751996242367,0.452144,0.326397,0.6341463414634143,0.3685684406574158,1,1,0.5395702184997195,0.0784336457116588,High-Risk
oracle,Database,0.0667976184666439,0.3922404884922499,0.1314448940728396,0.071125925088978,0.6341463414634143,0.160466931421689,1,2,-1.5459156173578634,-0.29954493442834634,Growing
power bi,Data Analytics,0.0662363964667415,0.3494598403006106,0.270022,0.257822,0.6951219512195119,0.5665329403023175,1,2,-0.7624762443673421,-1.0588741866871094,Growing
sharepoint,Tools_Platforms,0.0651993558147479,0.2220009394081727,0.229424,0.307204,0.6341463414634143,0.5665329403023175,1,2,-1.0925164100333298,-1.3327658320527709,Growing
ms excel,Data Analytics,0.064418525206188,0.1146077970878346,0.334246,0.367183,0.6341463414634143,0.5665329403023175,1,2,-0.5654282551916381,-1.6871979089435378,Growing
programming,Programming,0.0643087209018593,0.350164396430249,0.380904,0.386355,0.6341463414634143,0.1310244007450515,1,1,0.5571981550435642,-0.3231829961094777,High-Risk
business intelligence,Data Analytics,0.0592821238592552,0.5373414748708314,0.309377,0.286467,0.6341463414634143,0.5665329403023175,1,2,-0.5212770670811941,-0.19969884050258474,Growing
databases,Database,0.0589161095114928,0.2320338186942225,0.230449,0.213914,0.6341463414634143,0.2160152322616729,1,2,-0.906906063061227,-0.8519910293554249,Growing
data science,AI_ML,0.0587575032941291,0.650070455612964,0.234615,0.720376,0.6341463414634143,0.70156024372584,1,0,0.5731572652028228,0.11448521519458983,Stable
c#,Programming,0.0576228588160655,0.5711601690934711,0.563238,0.3455736964013333,0.7073170731707314,0.1310244007450515,1,1,1.62359632664543,0.295647005485113,High-Risk
database management,Database,0.0560367966424283,0.1615782057303898,0.172429,0.217657,0.6341463414634143,0.2160152322616729,1,2,-1.211584484711774,-1.0843423996938373,Growing
systems engineering,Engineering_Systems,0.0552193645990922,0.633161108501644,0.162611,0.128078,0.6341463414634143,0.5665329403023175,1,2,-1.5790601458357634,0.11905694433058688,Growing
artificial intelligence,AI_ML,0.0546581425991898,0.7017379051197745,0.23128,0.49748,0.6341463414634143,0.70156024372584,1,0,-0.15709731633515248,0.2725846940016415,Stable
cybersecurity,Cybersecurity,0.051120003904153,0.5771254109910757,0.181628,0.27169,0.6341463414634143,0.5665329403023175,1,2,-1.0748002168473434,-0.02505948800275661,Growing
agile development,Software Engineering,0.0510346005563418,0.5138562705495537,0.343035,0.283384,0.6341463414634143,0.5665329403023175,1,2,-0.43222121542940906,-0.2362596769319086,Growing
information technology,Tools_Platforms,0.0502049680347469,0.3494598403006106,0.240206,0.180224,0.6341463414634143,0.5665329403023175,1,2,-1.3797082598377506,-0.8311733081814979,Growing
robotics,Engineering_Systems,0.0472402518178712,0.3729450446218882,0.157472,0.163334,0.6341463414634143,0.5665329403023175,1,2,-1.761144417626586,-0.7400594953166353,Growing
react,Programming,0.0444097408618417,0.5516016909347112,0.5044513211140204,0.3968137393367606,0.7073170731707314,0.1295611986695699,1,1,1.512678410331459,0.30827067106016687,High-Risk
matlab,Programming,0.0432994973402957,0.559652418976045,0.0586050940252319,0.0348567877521044,0.6341463414634143,0.1805003728377471,1,2,-1.8728611602965426,0.37749599941414497,Growing
gcp,Cloud,0.0425918696012883,0.6838891498356037,0.2863603903832419,0.306002,0.46341463414634143,0.1368953154308607,1,1,-0.3721706128894235,1.374513589003988,High-Risk
unit testing,Software Engineering,0.0424942657752183,0.5670079849694691,0.319675,0.182697,0.6341463414634143,0.5665329403023175,1,2,-0.8346044625284711,-0.025445597101322565,Growing
data modeling,Database,0.0420306476013859,0.6127289807421326,0.360673,0.192761,0.6341463414634143,0.2160152322616729,1,1,-0.08304337829558749,0.5708712240715411,High-Risk
jenkins,DevOps,0.0411278122102386,0.623767026773133,0.363107,0.3628,0.6341463414634143,0.3685684406574158,1,1,0.2992282137351345,0.4610672142647748,High-Risk
microservices,Software Engineering,0.0409082036015811,0.6761860028182245,0.397984,0.301958,0.6341463414634143,0.5665329403023175,1,2,0.005435212327481757,0.3917677894776052,Growing
nosql,Database,0.0394929481235664,0.6887740723344293,0.233239,0.25225,0.6341463414634143,0.2160152322616729,1,1,-0.3337939111020024,0.8565793784874186,High-Risk
typescript,Programming,0.039029329949734,0.6838891498356037,0.6597952868364676,0.5705327382633749,0.7804878048780486,0.2649920077198655,1,3,2.918207308618724,0.48546730345090466,Future-Proof
terraform,DevOps,0.0359548094285296,0.6838891498356037,0.2070459414425136,0.2156375346025648,0.6341463414634143,0.4296025825177979,1,2,-0.8846186085247517,0.5880272457190368,Growing
ci/cd,DevOps,0.0357962032111658,0.6547674964772194,0.457996,0.306047,0.6341463414634143,0.3685684406574158,1,1,0.5193848360282135,0.5910505282326823,High-Risk
confluence,Tools_Platforms,0.0353325850373334,0.4903710662282761,0.187832,0.2409468391616293,0.6341463414634143,0.5665329403023175,1,2,-1.272762035707141,-0.24857046301956556,Growing
coding,Programming,0.0344663510809623,0.3494598403006106,0.348353,0.33788,0.6341463414634143,0.1310244007450515,1,1,0.1998624993665255,-0.17523164504292674,High-Risk
sql server,Database,0.0344663510809623,0.4246124941286988,0.266231,0.26506,0.6341463414634143,0.2160152322616729,1,1,-0.4333354862427944,-0.03511107603238853,High-Risk
data engineering,Data Engineering,0.0329412912986189,0.6990436824800377,0.223671,0.293839,0.6341463414634143,0.2683583684151263,1,1,-0.3080563150527139,0.8715356389490915,High-Risk
network security,Cybersecurity,0.0328070860377726,0.5138562705495537,0.25508,0.261244,0.6341463414634143,0.5665329403023175,1,2,-0.9060448167150692,-0.14587092389775602,Growing
angular,Programming,0.0320262554292128,0.5373414748708314,0.2874077600571292,0.1614598045308174,0.6341463414634143,0.0531604792503745,1,1,-0.3559046257184359,0.5521076206949639,High-Risk
information security,Cybersecurity,0.0318310477770728,0.5131517144199154,0.1844,0.27094,0.6341463414634143,0.5665329403023175,1,2,-1.167784373703255,-0.14420221726917887,Growing
computer engineering,Engineering_Systems,0.031001415255478,0.5986519492719586,0.167801,0.232769,0.6341463414634143,0.5665329403023175,1,2,-1.2809457517159126,0.15065912297987707,Growing
electronics,Engineering_Systems,0.0307940071250793,0.300019,0.112334,0.08948,0.6341463414634143,0.5665329403023175,0,2,-2.3058317335622123,-0.9225317938681388,Growing
system design,Software Engineering,0.0286955248645746,0.5087364960075154,0.258547,0.258987,0.6341463414634143,0.5665329403023175,1,2,-0.9124226997632852,-0.1418055017887108,Growing
mysql,Database,0.0284393148211409,0.5852512916862376,0.5037372054272791,0.2892491949607367,0.8292682926829267,0.191707,1,1,1.4545297414970442,0.09905562512318229,High-Risk
node.js,Programming,0.0278292909082036,0.6838891498356037,0.598699,0.384498050957573,0.7804878048780486,0.1310244007450515,1,1,2.2005072081329606,0.6707671495940324,High-Risk
software testing,Software Engineering,0.0273656727343711,0.2930953499295443,0.27827,0.2598,0.6341463414634143,0.5665329403023175,1,2,-1.0512072638339538,-0.8869600882414599,Growing
data governance,Data Engineering,0.0271826655604899,0.6782527007984969,0.287555,0.280314,0.6341463414634143,0.2683583684151263,1,1,-0.12221785837453387,0.8301553375644986,High-Risk
agile methodologies,Software Engineering,0.0270484602996437,0.5373414748708314,0.356266,0.260752,0.6341463414634143,0.5665329403023175,1,2,-0.47611221297009787,-0.028338500958618968,Growing
agile methodology,Software Engineering,0.0265604411692938,0.5255988727101926,0.329906,0.273041,0.6341463414634143,0.5665329403023175,1,2,-0.5560734995769502,-0.06542213042668017,Growing
hadoop,Data Engineering,0.0260846225172026,0.7261625176139033,0.276782,0.306383,0.6341463414634143,0.2683583684151263,1,1,-0.030758408912630313,1.008205942203439,High-Risk
unix,DevOps,0.025633204821629,0.560826679192109,0.432473,0.38007,0.6341463414634143,0.3685684406574158,1,1,0.5514440441749068,0.3315008868482289,High-Risk
big data,Data Engineering,0.024327753647943,0.6976984499765149,0.322649,0.30568,0.6341463414634143,0.2683583684151263,1,1,0.12408748211666705,0.920132301620033,High-Risk
cyber security,Cybersecurity,0.0240227416914743,0.560826679192109,0.215876,0.255446,0.6341463414634143,0.5665329403023175,1,2,-1.056525873097834,0.0628985467205899,Growing
plc programming,Programming,0.0238641354741105,0.1367778299671207,0.328245,0.292647,0.6341463414634143,0.1310244007450515,1,1,-0.27546183720074796,-0.8707888897299051,High-Risk
microsoft azure,Cloud,0.0234981211263481,0.6200093940817286,0.362262,0.2310038980848539,0.6341463414634143,0.1308896492023329,1,1,0.14848279706020848,0.808791614903325,High-Risk
continuous integration,DevOps,0.0225098823873895,0.6312822921559418,0.415219,0.23179,0.6341463414634143,0.3685684406574158,1,1,0.03963522101019936,0.5642290934013484,High-Risk
programming languages,Programming,0.0224732809526133,0.6259675904180366,0.461082,0.448881,0.6341463414634143,0.1310244007450515,1,1,1.3055593914549475,0.882748934392736,High-Risk
c/c++,Programming,0.0223756771265433,1.0,0.4326,0.3919,0.6341463414634143,0.1310244007450515,1,1,1.3755581114547961,2.177409294667789,High-Risk
etl,Data Engineering,0.0220950661265921,0.5861906998590889,0.330415,0.313872,0.6341463414634143,0.2683583684151263,1,1,0.06589646018284685,0.5446187082180729,High-Risk
github,DevOps,0.021326435996291,0.6312822921559418,0.375316,1.0,0.6341463414634143,0.3685684406574158,1,0,2.4971538478108464,0.7220805425409786,Stable
database,Database,0.0208018154311649,0.208548614372945,0.253041,0.137396,0.6341463414634143,0.2160152322616729,1,2,-1.170939824157974,-0.7420463784587584,Growing
snowflake,Database,0.0207896149529061,0.6838891498356037,0.0513687217329206,0.0603355742613411,0.6341463414634143,0.6474776120268291,1,2,-2.3995713448310383,0.3648807196825494,Growing
postgresql,Database,0.0196915719096188,0.7090183184593706,0.6916924541775769,0.6701881249646913,0.8536585365853657,0.2715635331016569,1,3,3.6086050282684226,0.5018478680350893,Future-Proof
objectoriented programming,Programming,0.0196183690400663,0.5711601690934711,0.342073,0.387957,0.6341463414634143,0.1310244007450515,1,1,0.5437599726707774,0.6893771974573556,High-Risk
deep learning,AI_ML,0.0189351422575764,0.976984499765148,0.260541,0.543536,0.6341463414634143,0.70156024372584,1,0,0.3353946812959547,1.4379859489267386,Stable
apis,Software Engineering,0.0188741398662827,0.6181305777360264,0.327694,0.305944,0.6341463414634143,0.5665329403023175,1,2,-0.37265256488583665,0.3059123527745076,Growing
php,Programming,0.0188741398662827,0.4503147017379052,0.2853606284218041,0.162307214281679,0.6341463414634143,0.1324876028205329,1,1,-0.588900857953508,0.2219444578858924,High-Risk
mongodb,Database,0.0186057293445903,0.6350399248473462,0.2983575339204951,0.2497599005705892,0.6097560975609757,0.0298510461205016,1,1,0.019640636772515072,1.0758471371559164,High-Risk
integration testing,Software Engineering,0.0178859011273241,0.4884922498825739,0.244553,0.232038,0.6341463414634143,0.5665329403023175,1,2,-1.1035041167976316,-0.1600173341626885,Growing
pytorch,AI_ML,0.0177272949099604,0.9985908877407236,0.229299,0.512933,0.46341463414634143,1.0,1,0,-0.861557877691106,1.5878012897390128,Stable
azure devops,Cloud,0.0175930896491142,0.559887271019258,0.363839,0.1650754194678266,0.6341463414634143,0.1308896492023329,1,1,-0.14291967700337355,0.6176247411891376,High-Risk
api,Software Engineering,0.0169464643014006,0.5843118835133865,0.280019,0.281231,0.6341463414634143,0.5665329403023175,1,2,-0.6924952835455271,0.19118465985013636,Growing
data architecture,Data Engineering,0.0167512566492606,0.7815875998121184,0.274988,0.273058,0.6341463414634143,0.2683583684151263,1,1,-0.11296690129781824,1.2456281593350658,High-Risk
computer vision,AI_ML,0.0166048509101556,0.7721935180836073,0.370147,0.572054,0.6341463414634143,0.70156024372584,1,0,0.6722013792853524,0.7456005088575254,Stable
embedded systems,Engineering_Systems,0.0165682494753794,0.560826679192109,0.166632,0.09901,0.6341463414634143,0.5665329403023175,1,2,-1.8087619000010586,0.06989601487656359,Growing
tensorflow,AI_ML,0.0162388365623932,0.9333020197275717,0.338639,0.554918,0.0,0.4031204874516799,1,0,-0.9898439108162127,3.3122601762204407,Stable
system testing,Software Engineering,0.0140915523888536,0.363550962893377,0.243732,0.274488,0.6341463414634143,0.5665329403023175,1,2,-1.0968500583618426,-0.5675550953234946,Growing
google cloud,Cloud,0.0140061490410424,0.7010239549084076,0.409526,0.2256934636461217,0.6341463414634143,0.1308896492023329,1,1,0.39075720150214754,1.1442007559265903,High-Risk
data pipelines,Data Engineering,0.0139573471280074,0.7261625176139033,0.297995,0.296429,0.6341463414634143,0.2683583684151263,1,1,5.198865034409327e-05,1.072777107540564,High-Risk
agile practices,Software Engineering,0.0139085452149724,0.6155002348520433,0.320796,0.291066,0.6341463414634143,0.5665329403023175,1,2,-0.46408495417385,0.32032759418107276,Growing
cloud security,Cybersecurity,0.01334732321507,0.7252231094410522,0.206796,0.275282,0.6341463414634143,0.5665329403023175,1,2,-0.8782781753867401,0.6985741037294833,Growing
natural language processing,AI_ML,0.013298521302035,0.976984499765148,0.291601,0.56476,0.6341463414634143,0.70156024372584,1,0,0.5257159725300985,1.4740782143717766,Stable
golang,Programming,0.01315211556293,0.8661343353687176,0.535694,0.412113,0.6341463414634143,0.1310244007450515,1,1,1.7165985822091596,1.768176492845606,High-Risk
a/b testing,Software Engineering,0.0127739007369088,0.4429309534992953,0.223927,0.303427,0.6341463414634143,0.5665329403023175,1,2,-1.0011557768772457,-0.27819223598407333,Growing
gitlab,DevOps,0.0127372993021326,0.5861906998590889,0.340954,0.4316140331054742,0.6341463414634143,0.3685684406574158,1,1,0.3506609865035478,0.4961869238701589,High-Risk
advanced excel,Data Analytics,0.0125786930847689,0.2629168623767026,0.243529,0.33398,0.6341463414634143,0.5665329403023175,1,2,-1.0002344253405215,-0.8990936545149547,Growing
performance testing,Software Engineering,0.0124566883021814,0.4776843588539221,0.301821,0.344862,0.6341463414634143,0.5665329403023175,1,2,-0.5024889230395646,-0.1433964750289878,Growing
penetration testing,Cybersecurity,0.0123468839978527,0.6312822921559418,0.225653,0.278175,0.6341463414634143,0.5665329403023175,1,2,-0.8884067415964327,0.3771920452726533,Growing
nosql databases,Database,0.0123102825630764,0.6741193048379521,0.310858,0.228314,0.6341463414634143,0.2160152322616729,1,1,-0.16091572043941418,0.9511024475244316,High-Risk
